Ссылка,Раздел,Уровень,Группа,Видимость,Родитель по полю раздел,min,max
https://agriline.ua/-/traktori--c228,Трактори
"{'class': ['field-wrapper', 'field-wrapper-select'], 'data-field-id': 'cat_id'}",Категорія,Level: 1,Group: 1,show,,0,0
with-found-stat with-found-stat,трактори колісні,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,міні-трактори,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,гусеничні трактори,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,мототрактори,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,трактори-газонокосарки,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,мотоблоки,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,скіддери,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,висококліренсні трактори,Level: 2,Group: 1,hidden,Категорія,0,0
with-found-stat with-found-stat,виноградникові трактори,Level: 2,Group: 1,hidden,Категорія,0,0
"{'class': ['field-wrapper', 'field-wrapper-select'], 'data-field-id': 'trademark'}",Марка,Level: 1,Group: 2,show,,0,0
with-found-stat with-found-stat,4Farmer,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,AGCO,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,AMV,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Aebi Schmidt,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Agria,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Allis-Chalmers,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,Antonio Carraro,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-3944,Supertigre,Level: 3,Group: 2,hidden,Antonio Carraro,0,0
subopts-for-3944m16962,Supertigre 5500,Level: 4,Group: 2,hidden,Supertigre,0,0
subopts-for-3944,TRX,Level: 3,Group: 2,hidden,Antonio Carraro,0,0
with-found-stat with-found-stat,Arbos,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,Armatrac,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-4637,584,Level: 3,Group: 2,hidden,Armatrac,0,0
subopts-for-4637,704,Level: 3,Group: 2,hidden,Armatrac,0,0
subopts-for-4637,854,Level: 3,Group: 2,hidden,Armatrac,0,0
subopts-for-4637,1054,Level: 3,Group: 2,hidden,Armatrac,0,0
subopts-for-4637,1104,Level: 3,Group: 2,hidden,Armatrac,0,0
subopts-for-4637,1254,Level: 3,Group: 2,hidden,Armatrac,0,0
with-found-stat with-found-stat,Avant,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Avenger,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,BCS,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,BMC,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Barreiros,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,Başak,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-6842,2110 S,Level: 3,Group: 2,hidden,Başak,0,0
with-found-stat with-found-stat,Belarus,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Bobard,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,Bobcat,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-2494,553,Level: 3,Group: 2,hidden,Bobcat,0,0
with-found-stat with-found-stat,Bolinder-Munktell,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Bonatti,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Boschung,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat with-found-stat,Branson,Level: 2,Group: 2,hidden,Марка,0,0
with-found-stat,CANYCOM,Level: 2,Group: 2,hidden,Марка,0,0
subopts-for-4532,CMX,Level: 3,Group: 2,hidden,CANYCOM,0,0
with-found-stat with-found-stat,CAPTAIN,Level: 2,Group: 2,hidden,Марка,0,0
